ShowOnFinalScv,Line name,Pipe name,VC name,Qos,DosOrDrop,Jambo,Bypass,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,,EOL
1,AS,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,AS,Fallback,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,AS,Fallback,Fallback,0,0,0,0,Autonomous_system_int,Autonomous_system_ext,,,,,,,,,,,,,,,,,,,,EOL
1,CER,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,CER,Gre1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,CER,Gre1,Fallback,0,0,0,0,Gre-11.11.11.11_int,Gre-11.11.11.11_ext,,,,,,,,,,,,,,,,,,,,EOL
1,CER,BitTorrent1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,CER,BitTorrent1,Fallback,0,0,0,0,CER_Bitorent_DHT_int,CER_Bitorent_DHT_ext,,,,,,,,,,,,,,,,,,,,EOL
1,CER,Fallback,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,CER,Fallback,Fallback,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,QoS,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,QoS,MaxPipe1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,QoS,MaxPipe1,IgnoreQos,0,0,0,0,Max_Qos_Ignore_qos_int,Max_Qos_Ignore_qos_ext,,,,,,,,,,,,,,,,,,,,EOL
1,QoS,maxPipe-Spare1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,QoS,maxPipe-Spare1,MinVc-pri1,0,0,0,0,QoS_Min_QoS_pri1_int,QoS_Min_QoS_pri1_ext,,,,,,,,,,,,,,,,,,,,EOL
1,QoS,maxPipe-Spare1,MinVc-pri2,0,0,0,0,QoS_Min_QoS_pri2_int,QoS_Min_QoS_pri2_ext,,,,,,,,,,,,,,,,,,,,EOL
1,QoS,maxPipe-Spare1,MinVc-pri3,0,0,0,0,QoS_Min_QoS_pri3_int,QoS_Min_QoS_pri3_ext,,,,,,,,,,,,,,,,,,,,EOL
1,QoS,maxPipe-Spare1,MinVc-pri4,0,0,0,0,QoS_Min_QoS_pri4_int,QoS_Min_QoS_pri4_ext,,,,,,,,,,,,,,,,,,,,EOL
1,QoS,Fallback,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,QoS,Fallback,Fallback,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Jumbo,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Jumbo,Ps_1518_1526,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Jumbo,Ps_1518_1526,Fallback,0,0,0,0,ps_1518_ipv4_int,ps_1518_ipv4_ext,ps_1518_ipv6_int,ps_1518_ipv6_ext,ps_1522_inc_1_vlan_crc_ipv4_int,ps_1522_inc_1_vlan_crc_ipv4_ext,ps_1522_inc_1_vlan_crc_ipv6_int,ps_1522_inc_1_vlan_crc_ipv6_ext,ps_1526_complex_QinQ_GRE_L2TP_PPP_ipv4_int,ps_1526_complex_QinQ_GRE_L2TP_PPP_ipv4_ext,ps_1526_complex_QinQ_GRE_L2TP_PPP_ipv6_int,ps_1526_complex_QinQ_GRE_L2TP_PPP_ipv6_ext,ps_1526_inc_2_vlans_QinQ_crc_ipv4_int,ps_1526_inc_2_vlans_QinQ_crc_ipv4_ext,ps_1526_inc_2_vlans_QinQ_crc_ipv6_int,ps_1526_inc_2_vlans_QinQ_crc_ipv6_ext,,,,,,EOL
1,Jumbo,Jumbo_ps_9026,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Jumbo,Jumbo_ps_9026,Fallback,0,0,1,0,ps_9026_jumbo_QinQ_clsf_ipv4_int,ps_9026_jumbo_QinQ_clsf_ipv4_ext,ps_9026_jumbo_QinQ_clsf_ipv6_int,ps_9026_jumbo_QinQ_clsf_ipv6_ext,,,,,,,,,,,,,,,,,,EOL
1,Jumbo,Fallback,Fallback,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Dos,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Dos,Dos-P11,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Dos,Dos-P11,vc1-dos,0,1,0,0,Dos_p1_vc1_int,Dos_p1_vc1_ext,,,,,,,,,,,,,,,,,,,,EOL
1,Dos,Dos-P11,vc2-dos,0,1,0,0,Dos_p1_vc2_int,Dos_p1_vc2_ext,,,,,,,,,,,,,,,,,,,,EOL
1,Dos,Dos-P11,Fallback,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Dos,Dos-P21,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Dos,Dos-P21,vct,0,1,0,0,Dos_p2_VCT_int,Dos_p2_VCT_ext,,,,,,,,,,,,,,,,,,,,EOL
1,Dos,Dos-P21,Fallback,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Dos,Fallback,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Dos,Fallback,Fallback,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Bypass,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,EOL
1,Bypass,p11,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,EOL
1,Bypass,p11,Fallback,0,0,0,1,Bypass_p1_Fallback_int,Bypass_p1_Fallback_ext,,,,,,,,,,,,,,,,,,,,EOL
1,Bypass,Bypass_Drop1,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,EOL
1,Bypass,Bypass_Drop1,Fallback,0,0,0,1,Bypass_p2_VCT_V200_int,Bypass_p2_VCT_V200_ext,,,,,,,,,,,,,,,,,,,,EOL
1,Bypass,Fallback,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,EOL
1,Bypass,Fallback,Fallback,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,EOL
1,Drop,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Drop,PT1,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Drop,PT1,Fallback,0,1,0,0,Drop_PT_Fallback_int,Drop_PT_Fallback_ext,,,,,,,,,,,,,,,,,,,,EOL
1,Drop,Fallback,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
1,Drop,Fallback,Fallback,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,EOL
