Line_Name,Pipe_Name,VC_Name,BW_kbps,CER,Live_Connections,Drop_Connections,
AS,,,438516,0,100,0,
AS,Fallback,,438516,0,100,0,
AS,Fallback,Fallback,438516,0,100,0,
CER,,,1398630,21412,428240,0,
CER,Gre1,,1284720,10706,214120,0,
CER,Gre1,Fallback,1284720,10706,214120,0,
CER,BitTorrent1,,113910,10706,214120,0,
CER,BitTorrent1,Fallback,113910,10706,214120,0,
CER,Fallback,,0,0,0,0,
CER,Fallback,Fallback,0,0,0,0,
QoS,,,3854160,0,531225,0,
QoS,MaxPipe1,,1284720,0,81225,0,
QoS,MaxPipe1,IgnoreQos,1284720,0,81225,0,
QoS,maxPipe-Spare1,,2569440,0,450000,0,
QoS,maxPipe-Spare1,MinVc-pri1,256944,0,112500,0,
QoS,maxPipe-Spare1,MinVc-pri2,513888,0,112500,0,
QoS,maxPipe-Spare1,MinVc-pri3,770832,0,112500,0,
QoS,maxPipe-Spare1,MinVc-pri4,1027776,0,112500,0,
QoS,Fallback,,0,0,0,0,
QoS,Fallback,Fallback,0,0,0,0,
Jumbo,,,25896524,0,100000,0,
Jumbo,Ps_1518_1526,,10435348,0,80000,0,
Jumbo,Ps_1518_1526,Fallback,10435348,0,80000,0,
Jumbo,Jumbo_ps_9026,,15461176,0,20000,0,
Jumbo,Jumbo_ps_9026,Fallback,15461176,0,20000,0,
Jumbo,Fallback,Fallback,0,0,0,0,
Dos,,,0,21412,528240,642360,
Dos,Dos-P11,,0,21412,428240,642360,
Dos,Dos-P11,vc1-dos,0,10706,214120,321180,
Dos,Dos-P11,vc2-dos,0,10706,214120,321180,
Dos,Dos-P11,Fallback,0,0,0,0,
Dos,Dos-P21,,0,0,100000,0,
Dos,Dos-P21,vct,0,0,100000,0,
Dos,Dos-P21,Fallback,0,0,0,0,
Dos,Fallback,,0,0,0,0,
Dos,Fallback,Fallback,0,0,0,0,
Bypass,,,0,0,0,0,
Bypass,p11,,0,0,0,0,
Bypass,p11,Fallback,0,0,0,0,
Bypass,Bypass_Drop1,,0,0,0,0,
Bypass,Bypass_Drop1,Fallback,0,0,0,0,
Bypass,Fallback,,0,0,0,0,
Bypass,Fallback,Fallback,0,0,0,0,
Drop,,,0,0,200000,0,
Drop,PT1,,0,0,200000,0,
Drop,PT1,Fallback,0,0,200000,0,
Drop,Fallback,,0,0,0,0,
Drop,Fallback,Fallback,0,0,0,0,
Tos,,,1754068,0,135000,0,
Tos,Tos10-to-1,,877034,0,67500,0,
Tos,Tos10-to-1,Fallback,877034,0,67500,0,
Tos,Tos20-to-45,,877034,0,67500,0,
Tos,Tos20-to-45,Fallback,877034,0,67500,0,
Tos,Fallback,,0,0,0,0,
Tos,Fallback,Fallback,0,0,0,0,
TIME,,,438516,0,112500,0,
TIME,Fallback,Fallback,0,0,0,0,
UDS,,,1284720,0,28800,0,
UDS,Fallback,,1284720,0,28800,0,
UDS,Fallback,Fallback,1284720,0,28800,0,
IPv6,,,3854160,10706,1364720,0,
IPv6,DualStack,,2569440,0,80000,0,
IPv6,DualStack,BitTorrent-IPv6,1284720,0,40000,0,
IPv6,DualStack,eDonkey,1284720,0,40000,0,
IPv6,DualStack,Fallback,0,0,0,0,
IPv6,CER1,,1284720,10706,1284720,0,
IPv6,CER1,vc1,1284720,10706,1284720,0,
IPv6,CER1,Fallback,0,0,0,0,
IPv6,Fallback,,0,0,0,0,
IPv6,Fallback,Fallback,0,0,0,0,
Tethering,,,328884,0,67500,0,
Tethering,Fallback,,328884,0,67500,0,
Tethering,Fallback,Fallback,328884,0,67500,0,
Interface,,,1284720,0,67500,0,
Interface,p11,,1284720,0,67500,0,
Interface,p11,vc1,1284720,0,67500,0,
Interface,p11,Fallback,0,0,0,0,
Interface,Fallback,,0,0,0,0,
Interface,Fallback,Fallback,0,0,0,0,
Fallback,,,0,0,0,0,
Fallback,Fallback,,0,0,0,0,
Fallback,Fallback,Fallback,0,0,0,0,
